Elastic_Modulus (GPa),Load (kN),Length_of_Beam (m),X-sectional Width b (mm),X-sectional Height h (mm),Max Deflection (mm)
191,5,13,59,102,229.6435
139,1,8,38,94,29.176151
114,5,11,58,102,237.11264
112,5,12,67,92,369.65573
187,2,14,55,90,182.98787
180,1,6,48,98,6.6405153
175,3,12,65,82,206.63887
101,3,6,56,89,40.628952
134,3,11,58,98,136.46721
160,1,7,47,108,9.05201
123,4,13,43,102,391.43167
199,1,14,41,94,101.22868
179,1,12,47,109,39.65093
181,2,5,40,94,10.393406
121,5,6,50,96,50.442276
154,2,13,31,81,432.9748
102,3,6,51,108,24.721418
127,3,6,40,92,40.953197
111,3,8,50,92,88.853546
143,5,9,44,96,163.6949
156,4,9,66,89,100.435905
180,5,9,46,110,82.68547
190,1,10,66,98,21.181868
176,4,12,39,95,293.62677
156,3,10,32,110,112.87782
173,3,10,34,110,95.798386
161,3,13,65,106,132.20093
199,5,15,54,93,488.0767
108,5,7,54,83,128.57376
143,4,7,41,102,55.128185
188,3,13,59,106,124.72798
117,5,14,68,89,611.5463
154,4,9,60,110,59.27581
171,5,11,34,97,313.54355
129,1,12,32,90,143.55441
154,3,14,38,101,341.33194
198,1,15,32,93,165.55785
182,3,12,30,98,252.19363
101,2,10,65,94,91.69628
106,4,12,56,92,373.8405
107,1,6,41,102,11.599134
148,2,9,32,98,81.77256
167,3,6,51,84,32.091537
200,2,11,62,92,68.9228
110,1,15,54,105,122.7042
155,5,5,44,107,18.701838
117,3,5,30,87,40.56079
122,3,13,68,88,291.45706
108,2,10,38,106,102.29279
183,1,13,67,103,40.995148
184,2,6,43,97,14.956234
165,1,11,33,81,114.99135
187,5,14,38,104,429.11026
134,5,8,31,110,115.75384
167,2,11,67,101,57.728813
107,1,11,50,91,82.53537
105,3,7,46,95,62.12086
193,1,9,32,109,22.786663
186,1,12,31,93,93.14515
187,4,13,31,103,346.82877
108,2,6,64,98,16.60129
132,3,13,32,89,553.34674
142,3,8,57,110,35.64429
199,4,10,56,86,141.07938
146,4,5,43,95,23.222977
140,2,9,39,100,66.75824
105,5,11,65,89,345.79236
176,2,11,51,93,92.17568
175,2,10,47,108,48.25728
152,1,5,59,83,6.094249
133,2,15,60,92,271.56726
159,1,7,33,102,15.400064
118,2,13,34,103,250.56906
163,5,15,47,87,836.25854
193,4,10,34,95,177.74318
127,2,14,30,101,349.51434
197,3,10,38,96,113.23945
160,1,15,45,100,117.1875
113,4,11,41,85,467.7987
110,1,6,34,81,27.16859
101,3,6,34,98,50.122932
130,5,13,60,91,467.21985
116,2,5,68,90,10.8689
111,3,14,66,97,307.7962
131,1,14,66,99,81.77175
125,2,14,35,95,365.7676
138,3,15,63,103,266.44263
194,3,9,55,92,65.8053
137,4,8,31,95,140.61023
135,4,12,35,90,501.66568
114,3,8,43,102,73.81717
128,1,11,32,103,74.344086
181,3,6,58,102,14.541456
191,5,9,32,100,149.09195
170,3,12,64,99,122.76385
190,4,10,70,108,59.686634
177,3,5,69,100,7.6762466
195,1,8,70,90,12.863223
169,3,6,30,103,29.241213
125,1,7,62,102,10.42634
189,1,13,66,80,85.99919
184,3,15,39,91,468.08896
165,3,5,43,94,15.908723
142,3,15,47,93,471.51984
156,3,13,60,107,143.70245
180,3,15,30,84,790.8669
138,4,9,34,82,281.79153
175,3,13,51,103,168.95515
117,3,12,45,95,287.10175
184,3,14,58,95,224.92035
199,5,9,61,83,131.28659
138,3,11,68,97,116.556404
127,2,10,46,94,103.04452
109,3,13,60,86,396.1122
143,5,8,34,80,257.09586
168,5,7,36,94,85.351036
166,5,8,36,106,89.91907
146,4,7,66,81,66.97956
101,2,13,37,86,462.14856
182,2,9,31,90,88.621056
162,1,15,60,96,98.11464
103,1,15,52,93,195.85036
141,2,5,42,81,19.858963
149,1,6,34,92,13.688791
184,4,5,62,86,17.226822
107,2,13,61,100,168.3009
199,2,5,59,104,4.7323284
157,5,6,56,93,38.179237
185,5,5,31,85,44.363907
153,1,10,68,89,34.0855
194,2,10,45,80,111.86283
178,5,13,49,83,550.6678
133,1,8,53,84,30.636885
192,3,8,70,97,31.305218
133,5,15,66,85,782.58496
147,1,14,48,98,103.296906
115,2,9,67,87,71.84013
106,1,12,30,87,206.29984
141,5,12,70,87,332.33713
182,1,15,42,90,151.41385
198,1,10,69,80,35.7401
192,5,11,44,95,229.70125
171,3,9,39,83,143.38173
200,5,15,64,82,597.76746
141,5,11,49,110,180.92345
148,2,11,67,89,95.201
172,5,12,46,92,350.5936
197,5,10,52,99,125.75778
179,3,6,54,109,12.941622
198,4,7,64,93,33.651165
165,1,14,40,88,152.52188
125,2,14,50,110,164.92862
167,4,12,57,88,266.3817
200,4,15,57,110,222.42873
119,1,12,43,104,75.05305
143,1,14,45,97,116.80471
134,2,13,64,108,101.68199
101,3,6,65,91,32.745834
189,4,7,45,96,45.583336
149,4,5,40,90,28.769758
169,2,8,65,82,42.266697
189,2,11,43,93,101.80496
200,2,5,32,98,10.375805
104,1,15,61,81,250.26237
111,5,15,32,96,1342.4469
184,4,14,59,106,212.22507
108,3,6,37,106,34.03862
152,4,13,57,98,269.4222
198,3,15,46,98,295.27982
195,3,10,30,104,113.97389
113,3,9,59,88,120.34009
115,2,8,41,93,67.50088
158,3,10,65,88,107.16249
160,2,5,63,90,8.505345
178,1,11,61,93,38.09951
178,1,7,36,86,21.038572
112,3,11,40,95,259.89053
194,5,8,65,102,47.826035
125,2,9,70,100,41.657143
154,5,11,55,107,160.34422
197,4,13,42,92,340.99738
188,3,14,41,107,217.94772
152,4,14,65,80,542.44684
166,4,11,36,89,315.93478
123,5,11,58,93,289.93866
146,4,6,47,95,36.714046
169,3,10,59,85,122.48016
114,3,10,54,95,142.09927
140,3,10,48,97,122.28602
158,3,12,41,110,150.30934
162,2,11,33,107,101.617325
198,4,8,61,87,64.37499
109,4,14,63,102,376.54468
164,3,9,41,88,119.319954
195,5,10,52,90,169.10036
197,2,8,39,110,25.034048
151,3,5,32,105,16.760094
121,2,12,60,110,89.412674
130,4,9,61,104,81.724884
125,1,10,30,90,91.44947
153,1,5,45,99,4.677788
154,2,7,38,89,41.570934
179,2,9,40,98,54.088665
150,5,10,33,99,260.2551
109,3,11,70,85,213.03845
125,4,10,38,88,308.92877
105,1,10,35,85,110.77094
107,2,9,39,100,87.34723
109,1,10,69,102,31.32304
113,3,9,64,88,110.938515
197,3,7,35,106,31.325897
108,4,10,34,87,413.561
153,1,5,67,99,3.1417975
119,2,9,59,97,56.883114
172,5,6,37,90,58.197735
137,2,15,54,82,413.70224
107,3,5,60,98,15.5152235
191,5,13,65,96,250.02281
176,4,15,36,95,621.2806
179,2,12,34,91,188.38992
175,1,6,37,101,8.094498
183,3,7,34,85,67.32379
109,2,8,69,100,34.03803
180,5,7,61,90,53.564156
160,5,13,41,96,473.17578
178,4,10,50,96,126.997826
125,2,6,37,106,19.606247
126,2,12,59,98,123.48464
190,4,14,50,110,217.01134
156,5,13,34,107,422.6542
131,5,9,57,92,156.72125
142,4,9,61,110,63.231182
186,2,5,31,85,17.650158
184,1,10,59,100,23.02874
166,2,6,42,93,19.258284
105,3,15,65,102,349.48764
122,2,14,60,99,193.16899
130,2,10,34,87,171.78687
179,2,11,50,87,112.91906
121,2,6,41,87,33.059536
177,4,7,51,96,42.94741
105,1,11,31,103,93.5525
174,2,12,37,98,142.58852
176,1,5,61,87,4.4202795
169,2,13,30,91,287.51993
121,2,12,70,107,83.268166
180,3,14,67,81,321.102
186,3,12,37,80,367.8073
126,4,5,49,105,17.489424
106,4,6,63,91,42.922318
123,3,15,54,87,578.7333
122,3,9,63,107,58.068024
180,2,5,47,100,7.3877068
187,2,13,57,90,141.36961
162,2,5,58,83,11.633294
178,2,11,54,88,101.59826
176,3,5,62,86,13.507395
164,2,12,54,86,153.38426
181,3,12,55,101,126.357086
142,4,15,64,109,286.76486
162,2,10,59,80,102.172264
191,3,14,54,91,264.78546
105,3,9,51,101,99.09806
112,3,11,31,102,270.93124
123,5,11,35,92,496.3082
106,5,9,35,90,336.92722
190,2,15,40,110,166.82155
197,4,5,54,81,22.110317
102,2,6,70,82,27.433676
190,1,14,58,88,91.347046
155,1,9,47,92,32.12732
143,1,10,69,106,21.273418
173,1,10,50,83,50.54633
179,1,8,57,80,24.502598
117,3,6,50,95,32.298943
110,5,11,41,82,669.06757
197,3,14,49,91,282.9169
173,1,7,38,82,23.657173
166,4,7,56,89,52.33931
171,2,15,70,96,159.34407
163,4,9,60,83,130.363
116,1,9,34,92,59.342678
178,5,13,41,93,467.82922
115,1,6,49,88,14.062154
100,2,11,57,100,116.75439
104,3,5,34,101,25.733267
186,3,13,69,86,201.85242
177,2,11,56,82,121.77137
151,2,15,32,103,319.59882
117,5,11,48,90,406.381
138,3,6,45,80,50.951084
185,3,8,42,83,86.432274
156,2,13,49,91,190.70198
169,1,9,61,106,14.8434
152,3,13,31,92,449.0788
157,4,8,61,90,73.33528
188,2,9,34,87,86.59703
138,4,7,44,90,77.48807
166,4,12,35,94,358.08328
166,2,8,61,81,47.571518
125,4,12,40,104,307.23715
132,4,8,51,95,88.70641
181,5,14,47,82,731.2673
135,4,7,56,93,56.40576
149,5,7,36,88,117.291725
171,4,11,34,104,203.51808
118,5,12,51,100,358.92325
181,4,11,63,86,183.51163
112,4,14,36,83,1190.2257
186,4,6,50,107,18.959177
154,2,15,63,108,138.07379
131,3,13,68,106,155.3079
101,4,11,66,84,336.87973
195,5,10,56,82,207.60883
170,1,10,47,101,30.368902
129,1,7,45,81,27.795652
154,5,11,53,90,279.61725
169,3,15,45,95,388.20844
123,1,6,37,92,15.237841
171,4,12,66,99,157.79678
113,1,11,62,94,57.182663
104,3,7,39,103,58.04245
153,2,11,40,105,93.93528
101,4,14,63,83,754.2024
135,3,11,44,95,196.01173
196,2,14,52,95,157.00874
198,1,6,66,109,3.190841
160,3,11,54,92,148.37546
116,3,11,66,110,97.96238
175,2,8,44,95,38.777378
185,5,12,44,82,481.26886
121,1,7,64,105,9.565351
162,1,6,70,80,9.300595
159,4,7,52,89,58.846905
134,4,13,33,97,544.37244
119,5,6,31,106,61.452213
140,2,14,53,85,301.088
157,3,15,70,95,268.63742
132,2,6,50,110,12.294242
159,2,13,49,84,237.88608
197,4,15,58,99,304.42056
136,3,15,63,95,344.5758
104,2,6,65,109,12.336659
120,1,8,65,84,27.687103
168,3,5,53,103,9.635504
127,2,11,44,96,134.6102
100,1,13,67,100,81.97761
128,4,15,42,102,591.5807
143,2,15,46,82,465.27353
182,3,10,60,92,88.20133
132,2,5,64,106,6.211672
104,4,14,70,92,484.0489
133,2,12,58,98,119.00245
118,2,6,68,96,15.21315
127,1,15,55,88,177.25536
141,3,13,37,97,346.0631
177,2,9,46,92,57.491405
194,5,7,39,92,72.77368
140,5,13,69,99,292.99304
200,1,13,38,88,106.04946
103,5,13,30,109,686.2811
182,2,7,41,83,40.195236
166,5,5,46,105,17.67609
116,3,9,31,102,143.2744
163,5,8,49,104,71.23547
134,1,6,50,101,7.822668
135,1,9,52,107,21.192348
141,5,14,56,86,682.9543
179,5,13,31,99,510.05823
136,2,10,38,104,86.00971
183,4,8,46,86,95.62373
117,2,12,58,94,153.2909
126,5,7,45,83,132.2473
167,2,12,65,84,134.29074
130,4,15,51,96,575.3691
113,4,13,50,105,335.90286
198,1,8,41,97,17.276102
146,3,14,38,86,583.1947
138,4,8,53,103,64.062416
144,2,14,54,106,148.1427
171,1,5,50,81,6.877472
122,1,10,46,110,33.46912
139,1,8,53,96,19.638378
111,1,10,66,96,38.570866
194,3,10,61,109,48.93845
110,2,15,59,92,333.91473
126,5,6,59,101,35.251457
180,3,9,43,110,53.07253
177,4,13,36,109,266.2409
111,3,12,61,106,160.70691
164,1,9,60,110,13.915358
104,4,11,44,85,473.62567
180,3,13,37,102,233.13988
118,3,13,56,86,392.036
162,2,6,56,94,14.333001
124,5,11,40,101,325.56842
178,4,7,33,88,85.68645
133,2,13,65,86,199.77435
198,3,14,63,90,226.31436
182,5,7,61,80,75.42806
154,1,13,49,96,82.26964
152,5,12,39,93,452.99844
164,3,9,46,94,87.25766
179,4,11,45,107,134.88422
102,5,6,50,97,58.006733
109,2,10,30,97,167.53557
155,2,6,58,99,12.381079
121,5,6,46,101,47.082165
148,3,8,51,110,38.22269
131,4,10,36,90,290.8698
125,2,11,64,96,94.02522
140,2,15,67,109,138.91893
131,2,6,34,97,26.567968
196,2,10,65,83,68.63826
110,1,9,45,82,66.77606
152,5,11,46,102,224.22607
146,5,13,51,86,579.858
136,2,6,69,87,17.477448
153,2,8,70,85,38.92187
153,5,6,43,104,36.48412
191,1,5,59,91,3.6799378
196,1,7,55,109,6.142369
110,5,11,61,103,226.91013
130,1,15,31,96,236.64375
104,1,9,59,93,36.92609
181,4,13,56,99,223.387
178,3,15,30,82,859.71045
121,4,9,54,97,122.245575
136,2,12,67,106,79.61271
118,3,11,65,84,219.58673
111,3,7,30,85,125.79239
195,1,9,41,89,32.33546
184,3,12,66,82,193.55379
136,1,15,33,99,193.75609
190,2,13,68,108,67.49418
176,3,7,63,108,18.41751
183,5,14,46,82,738.9987
130,5,15,56,94,697.70013
127,5,10,35,81,529.15533
121,3,15,34,100,615.2771
124,1,8,68,104,13.495201
152,2,13,50,97,158.36942
134,3,13,67,92,235.69386
191,2,9,64,98,31.681517
114,3,13,52,91,368.8578
160,5,13,46,104,331.71283
179,4,13,42,96,330.30417
135,5,10,59,106,131.76698
176,5,10,47,104,134.33818
125,2,12,33,108,166.27177
113,1,12,31,86,193.88681
146,5,13,36,104,464.4989
127,5,13,60,82,653.6474
194,4,8,64,89,58.494934
123,4,14,49,89,645.82214
138,1,7,50,91,16.491526
175,3,11,66,83,151.15517
158,5,12,69,106,166.35275
143,5,8,65,99,70.96186
191,4,15,62,92,366.00348
127,3,6,65,109,15.15369
179,5,10,56,108,98.99145
161,1,15,42,106,104.76615
191,5,13,40,104,319.5558
113,3,11,33,108,212.5082
103,2,6,58,102,17.035624
109,3,9,43,82,211.56912
107,2,9,67,100,50.843906
101,2,11,33,80,389.9804
115,5,15,43,98,906.44037
128,1,11,69,87,57.21386
142,4,7,57,87,64.353645
117,3,10,50,94,154.35541
135,4,15,63,92,509.60767
103,4,12,53,83,553.60034
168,3,8,48,104,42.33316
112,4,9,40,84,274.5438
116,1,11,31,80,180.72923
144,4,14,42,104,403.34094
111,3,13,50,95,346.2801
129,5,11,38,101,329.42047
125,2,11,56,99,97.981575
198,2,6,56,84,16.4336
125,2,12,60,108,91.44948
155,1,15,70,98,82.623924
153,4,5,51,101,15.548347
121,2,8,59,89,50.866577
106,4,12,37,96,497.9921
112,5,14,44,90,954.76373
132,2,8,55,96,39.855625
159,4,14,38,85,739.51434
167,4,9,34,83,224.54214
163,3,9,39,90,117.98019
157,4,5,49,99,16.745909
172,2,13,49,84,219.9063
123,4,15,61,101,436.5909
200,5,6,65,80,40.564903
178,3,7,60,104,21.413324
176,5,10,43,98,175.4893
183,3,12,62,90,156.68762
113,1,7,59,98,13.665497
119,1,15,39,88,266.78058
109,4,13,39,100,516.8196
134,1,5,44,99,5.462444
104,2,10,58,108,65.80174
156,4,8,37,88,130.16542
134,2,8,41,88,68.37593
158,3,5,50,87,18.021313
145,1,7,67,104,7.846777
119,5,7,38,83,165.8209
173,3,6,49,87,29.02118
126,5,12,30,82,1036.3833
191,5,8,51,85,106.9842
116,5,7,61,105,52.34177
146,2,11,69,84,111.45724
130,4,14,59,99,368.70853
124,4,6,63,95,32.249332
134,5,8,56,95,99.47555
187,1,11,35,88,74.60371
118,3,12,65,81,317.94687
169,4,12,69,108,117.63504
108,5,10,54,105,185.15038
100,1,8,57,88,32.952404
101,1,15,55,102,143.12952
184,1,15,64,109,55.326916
166,5,14,67,87,468.33163
108,4,15,70,86,701.8699
186,1,13,46,85,104.53038
101,5,14,38,80,1745.4974
158,1,6,47,105,6.2816086
150,3,11,59,106,94.70621
185,4,14,64,99,238.85086
189,5,12,62,106,154.76852
184,3,7,36,103,35.540485
129,4,10,37,102,197.42767
180,4,12,63,106,127.941986
129,1,7,62,104,9.531312
175,4,12,51,86,304.39685
178,4,14,59,93,324.8353
186,2,15,32,91,376.23282
158,3,5,30,80,38.629845
175,3,11,59,102,91.10636
141,2,6,62,82,22.406364
126,2,6,47,96,20.613022
181,5,15,55,88,621.8627
135,1,12,39,98,87.17805
136,3,6,52,80,44.7407
165,5,5,59,101,15.578297
134,5,14,69,98,394.15045
180,4,10,40,94,167.21835
161,5,5,37,95,30.592968
163,4,14,54,81,586.6076
197,5,7,65,90,45.93006
185,1,11,57,87,47.91966
120,3,5,33,108,18.793377
181,1,14,56,109,52.261036
122,4,12,56,109,195.30638
117,3,5,70,89,16.237432
143,4,6,52,83,50.801914
182,3,12,47,108,120.27198
106,4,9,41,91,222.59407
165,2,9,34,87,98.66813
121,3,8,65,87,74.14378
117,5,13,35,97,734.80304
130,5,5,35,103,31.426569
156,5,12,61,103,207.72446
138,3,9,65,95,71.09279
198,3,7,37,107,28.66402
154,3,12,48,86,275.64346
185,4,6,50,106,19.606247
178,5,7,40,93,74.86439
104,4,10,49,83,343.1913
132,1,14,48,89,153.58151
199,3,6,52,106,13.144406
105,4,8,58,87,127.67177
166,2,11,56,109,55.280563
117,5,9,42,110,139.3235
173,1,15,63,103,70.84602
182,4,5,65,98,11.226568
168,3,5,41,86,21.398474
161,3,7,66,86,38.06188
105,4,9,38,107,149.14314
117,1,11,50,103,52.053566
125,2,6,59,94,17.63105
118,1,7,57,91,16.918158
110,1,5,32,99,9.149593
110,1,8,57,92,26.216757
143,3,14,36,106,335.65198
115,2,12,36,100,208.69566
187,2,10,53,88,74.02945
148,3,11,64,83,184.31612
153,1,11,41,105,45.82209
159,4,15,53,81,753.6084
183,4,7,40,94,56.415634
161,3,14,37,105,298.43506
127,2,14,44,82,445.30356
102,4,12,36,108,373.5681
198,5,8,56,80,112.73449
157,1,13,49,110,53.64093
161,1,15,36,105,125.752754
108,2,6,58,107,14.074101
119,3,7,53,98,43.33655
136,1,12,65,110,36.715836
119,2,10,40,109,81.11171
151,4,15,67,94,401.64136
122,3,14,66,93,317.75525
183,3,7,42,103,30.62974
159,4,11,32,106,219.64096
184,3,8,43,83,84.881035
142,2,8,69,97,28.627758
125,3,11,37,104,191.87904
142,4,10,52,92,173.91812
176,2,10,39,80,142.27309
193,1,11,38,101,44.036522
141,5,11,47,84,423.57785
106,3,11,58,89,230.32202
171,1,6,43,105,6.3439727
118,2,6,56,81,30.753792
106,1,7,40,110,15.1946335
175,4,13,31,85,659.4373
108,4,14,60,84,714.449
141,1,11,53,82,80.75725
123,3,8,63,106,41.60715
180,3,14,59,94,233.3121
145,3,8,70,80,73.891624
178,4,13,66,86,294.01587
180,1,7,47,109,7.8268
149,3,11,38,82,319.7628
109,5,11,60,108,201.94777
117,2,8,50,92,56.197968
158,1,8,37,94,26.361347
192,4,15,56,95,366.1118
179,2,11,34,107,89.26162
196,2,6,66,104,7.4220476
123,5,13,69,110,243.1128
130,2,5,31,89,21.9991
134,4,11,35,85,462.11325
113,2,9,56,101,55.907093
181,2,11,38,80,188.98003
126,2,5,60,81,15.556188
112,5,12,64,92,386.98334
165,5,12,41,102,300.87454
140,5,7,34,81,169.48924
109,1,13,70,85,117.2165
184,4,11,51,99,146.17882
190,3,10,54,95,85.25957
157,1,14,35,104,110.98298
173,2,14,49,90,222.01605
180,2,7,37,101,24.993425
123,2,13,54,98,175.72072
102,1,7,64,86,20.651834
165,4,13,47,104,251.85364
178,1,6,37,101,7.958073
149,4,14,32,88,844.50037
131,1,7,48,108,10.825559
187,3,11,31,105,148.75381
159,5,12,46,106,247.95975
125,5,9,70,94,125.3851
108,1,6,57,86,13.791128
122,2,13,33,80,532.913
101,3,14,53,92,493.7245
126,1,10,42,82,85.67984
156,1,11,35,109,47.05935
106,5,13,41,110,474.75797
106,1,14,55,106,98.79568
159,4,12,70,88,227.82457
176,2,7,67,106,12.21122
102,3,5,42,88,32.112476
145,2,14,51,104,164.93617
